node,lat,lon
0,40.524631538747535,-114.43951235819726
1,38.58568513712248,-121.35182928570993
2,35.11115005222184,-117.37214609981017
3,28.32237699861,-81.8873423712021
4,44.21551419193793,-70.72029864330736
5,39.083806615916345,-89.53021603423238
6,43.53854213563255,-84.57129688773807
7,32.37183408951491,-91.59182880259502
8,45.623774202536325,-95.50074805912644
9,45.94986387766546,-117.14100038315088
10,40.81791449786304,-73.20675915702527
11,43.01618933851918,-75.59912871900829
12,41.52251571834833,-89.05948563066879
13,37.33075436228837,-77.77237480630528
14,40.38716909194539,-76.68226000714346
15,39.38138624036981,-81.86201346424527
16,41.05431565888141,-106.33913027914166
17,38.38604128157643,-97.3629880768631
18,43.349546504618594,-100.09918387428988
19,35.037045514041125,-98.45927725469004
20,34.79437694844289,-80.10115602561902
21,35.80787930751943,-86.47197070667457
22,32.331835429539815,-85.04743128938432
23,34.3633756475696,-109.320242412378
24,30.334493017202057,-97.59663331657087
25,32.15109855473647,-101.61761793452236
